firmList,Industrycode
165175000,10011
27197000,10011
32920000,10011
35837000,10011
36017000,10011
46622000,10011
47323000,10011
124096000,10011
124780000,10011
124864000,10011
125419000,10011
125499000,10011
129322000,10011
130466000,10011
163600000,10011
163610000,10011
164401000,10011
48054000,10011
48092000,10011
48197000,10011
48253000,10011
48339000,10011
48372000,10011
48447000,10011
48462000,10011
48499000,10011
48503000,10011
48596000,10011
48727000,10011
48905000,10011
48933000,10011
48954000,10011
49074000,10011
49124000,10011
49142000,10011
49146000,10011
49600000,10011
49689000,10011
49751000,10011
49992000,10011
50146000,10011
50252000,10011
50314000,10011
50615000,10011
50762000,10011
50772000,10011
50898000,10011
51040000,10011
51134000,10011
51153000,10011
51215000,10011
51258000,10011
51310000,10011
52061000,10011
52092000,10011
52214000,10011
52303000,10011
52327000,10011
52462000,10011
52594000,10011
52658000,10011
52750000,10011
52859000,10011
53410000,10011
53594000,10011
53699000,10011
53724000,10011
54171000,10011
54179000,10011
54195000,10011
54311000,10011
54783000,10011
78714000,10011
92068000,10011
92072000,10011
92076000,10011
92086000,10011
92088001,10011
92089000,10011
92278000,10011
92305000,10011
92312000,10011
92918000,10011
163986000,10011
73639000,10011
